ATG,ARG,BHS,BRB,BLZ,BOL,BRA,CAN,CHL,COL,CRI,CUB,DMA,ECU,SLV,USA,GRD,GTM,GUY,HTI,HND,JAM,MEX,NIC,PAN,PRY,PER,DOM,KNA,VCT,LCA,SUR,TTO,URY,VEN,TOTAL
6.5209,4.3505,5.2346,6.6390,1.6028,1.3073,2.0472,18.0679,4.2725,1.3968,1.7930,2.3252,2.5034,2.4052,1.1326,20.2486,2.1314,0.8867,2.3538,0.1881,1.0368,3.9794,4.3743,0.8115,2.1417,0.7230,1.1995,2.1264,4.5958,2.1157,2.5371,3.3267,32.9146,1.7868,5.5935,0
6.4684,4.6493,5.2818,7.6343,1.4263,1.3122,2.1417,17.3641,4.2345,1.5283,1.7748,2.4926,2.4500,2.0911,1.0555,19.3497,2.2473,0.7792,2.2640,0.1839,1.0532,3.9757,4.3133,0.7675,2.0984,0.7578,1.2254,2.1350,4.5819,1.9925,2.5211,3.6176,31.9245,2.4584,5.5669,0
6.5873,4.3779,5.8534,7.3051,1.6444,1.3469,2.0038,16.1976,3.9184,1.6352,1.6979,2.5167,2.7158,2.2790,1.0363,17.7650,2.2322,0.8024,2.5410,0.1941,0.9702,2.9143,4.1461,0.7703,2.3770,0.7946,1.3620,2.0502,4.7242,2.5349,2.5046,3.6865,31.7172,2.3763,5.3604,0
6.4123,4.5220,5.9680,6.7162,1.6721,1.4397,2.2422,16.3724,4.1959,1.7018,1.6210,3.0291,2.5039,2.4201,1.0335,18.2520,2.2808,0.7631,2.5229,0.2171,0.9462,2.8082,4.0575,0.7630,2.5036,0.8705,1.4542,2.1025,4.6351,2.0109,2.8506,4.3401,33.4056,1.8785,6.5929,0
6.2933,4.5682,5.5936,7.0472,1.6789,1.5341,2.3341,16.4684,4.5460,1.6823,1.5622,2.6048,2.2381,2.5111,1.0590,17.6697,2.1997,0.7576,2.6339,0.2283,1.0276,3.0062,4.2348,0.8087,2.6982,0.8896,1.4307,2.1525,4.8489,1.9883,2.8306,4.9896,33.1455,2.2765,5.7882,0
6.3512,4.5597,5.3703,6.5290,1.3370,1.6590,2.4918,16.3088,4.5913,1.7530,1.5328,2.6384,2.3928,2.4160,1.0504,16.8769,2.3388,0.7652,2.6348,0.2240,1.0484,2.8672,4.3330,0.7544,2.6014,0.8734,1.5297,2.1189,4.6036,2.1353,2.8357,4.4652,32.2823,2.5486,5.9626,0
6.2921,4.4715,5.2633,6.5809,1.2756,1.6540,2.6394,16.2430,4.6680,1.9055,1.5927,2.4842,2.2887,2.5221,0.9853,17.1590,2.6003,0.8307,2.5491,0.2637,1.0451,3.0623,4.2244,0.7526,2.7510,0.8612,1.4323,2.0938,4.6765,2.0456,2.8008,5.5810,31.8058,2.2159,6.6501,0
6.3631,4.3993,5.4894,6.0903,1.3311,1.8217,2.7421,15.9966,4.3868,2.1056,1.5995,2.4363,2.3762,2.7404,0.9906,17.1680,1.9875,0.8799,2.6254,0.2597,1.0387,2.7644,4.0765,0.7643,2.7915,0.8962,1.6271,2.1202,4.8275,2.3642,2.7666,5.6183,32.3243,1.9708,5.8278,0
6.4761,4.4327,5.7194,6.0641,1.7817,1.7932,2.5798,15.9711,4.5765,2.0538,1.5129,2.5987,2.5115,2.5485,1.0701,16.5630,2.1862,0.9969,2.6533,0.2519,1.1133,2.8624,3.9910,0.8622,2.7263,0.9789,1.6029,2.2578,4.9043,2.2020,2.7328,4.7150,31.2014,1.9813,5.4325,0
6.5938,4.3492,5.5795,6.0781,1.7057,1.8858,2.3820,15.4427,4.6589,2.0931,1.5886,2.4838,2.4567,2.3940,1.0552,16.0537,2.2294,1.0390,3.1283,0.2781,1.0276,2.9127,3.9483,0.8461,2.5926,1.1479,1.6938,2.3410,4.9810,2.2820,2.6998,5.0231,27.1505,1.9103,4.9570,0
6.6338,4.2424,6.2899,5.8904,1.6428,1.9388,2.3842,15.5016,4.5806,1.9084,1.6078,2.2007,2.1852,2.3462,0.9526,15.8044,2.3026,1.0447,3.0485,0.2890,1.0628,2.7765,3.7905,0.8427,2.7400,1.2481,1.7357,2.2557,5.0579,2.0477,2.7711,4.1296,27.2673,1.8008,4.5226,0
6.7168,4.0663,6.0260,5.9191,1.5823,1.9386,2.2744,15.5815,4.5151,1.7678,1.5895,2.0421,2.2758,2.2585,0.9978,16.1914,2.5258,1.0980,3.1864,0.3097,1.0070,2.8758,3.7922,0.7911,2.5823,1.3038,1.7342,2.3925,5.1371,2.2966,2.8629,3.5190,26.8012,1.9174,3.3774,0
6.9600,3.9895,6.0680,5.9485,1.8174,1.9194,2.2356,15.4197,4.8309,1.8829,1.5141,1.9987,2.4103,2.3101,1.2021,15.7399,2.6867,1.1400,3.4501,0.2770,1.1265,2.7804,3.7440,0.7837,3.1614,1.2460,1.7781,2.6075,5.2958,2.1647,2.8107,4.3908,26.8315,1.8930,3.0240,0
6.6818,3.7055,5.3724,4.3945,1.5530,1.5354,2.0850,13.7995,4.1542,1.7618,1.3201,1.8828,2.1879,1.8711,1.0480,14.0341,2.3405,0.9985,3.9994,0.2222,0.9412,2.2913,3.5103,0.7029,2.4041,1.1129,1.4102,2.1366,4.8427,2.3459,2.6983,4.8066,23.0740,1.8889,2.1746,0
6.4003,4.1908,5.1497,4.3612,1.7550,1.7986,2.3199,14.0787,4.5676,1.8589,1.4853,1.8603,2.0960,2.2324,1.1858,14.9325,2.6467,1.1178,4.4296,0.2119,1.0541,2.3370,3.6999,0.7859,2.6906,1.3820,1.6749,2.1393,4.6700,2.2672,2.5941,6.0076,23.2897,2.3647,2.5395,0
6.4219,4.2378,5.1709,4.3773,1.7894,1.7583,2.2455,14.2492,4.3042,1.9223,1.5227,1.8659,2.1059,2.3117,1.2175,14.9496,2.7134,1.0756,4.3737,0.2112,1.0697,2.2946,4.0153,0.7988,2.6993,1.3299,1.7892,2.1051,4.7081,2.2965,2.6149,5.8030,22.4238,2.3060,2.7169,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
